gully,NDVI,Lithology,dist_fault,dist_road,dist_river,soil_textu,Landcover,TWI,TPI,SPI,Slope,Profile_Cu,Plan_Curva,Aspect,DEM,Rainfall
1,0.09081647393,2,2236.620,764.350,382.175,7,3,7.098250,3.216220,6431.120000,13.515800,0.001021,0.009245,326.310000,421,458.2270
1,0.11677158822,2,1540.600,854.569,191.087,4,3,7.424760,-13.918900,532389.000000,7.825530,-0.004258,-0.024729,255.964000,420,440.6930
1,0.12768382610,2,688.975,573.262,270.238,7,3,7.235980,-3.621620,-4951.230000,18.370300,-0.002063,-0.001096,252.474000,478,423.4500
1,0.13513274364,2,191.087,0.000,382.175,7,3,7.227390,0.513514,685.918000,3.438910,-0.000383,-0.021335,236.310000,572,407.9310
1,0.13379052676,2,5247.080,764.350,191.087,7,3,7.787360,-5.108110,5863.310000,10.176500,-0.000694,-0.008324,201.801000,294,515.9470
1,0.10584901188,2,3934.730,764.350,0.000,7,1,5.377610,12.864900,-4485.050000,17.571300,0.003370,0.000000,180.000000,381,502.5810
1,0.08933163235,7,3990.020,191.087,764.350,7,3,5.467480,-8.945950,-13045.000000,23.765200,-0.007789,0.002889,330.524000,417,489.5140
1,0.10166114831,7,3203.210,191.087,955.437,4,3,8.214870,-4.459460,1404.060000,12.772600,-0.001139,-0.001934,252.897000,488,477.8120
1,0.12927165706,2,1281.850,427.284,191.087,7,6,8.461770,-2.081080,-3138.590000,6.091480,0.001239,-0.017014,308.660000,510,469.8200
1,0.16053470049,2,1281.850,191.087,2682.040,4,2,9.013220,0.837838,567816.000000,7.825530,0.001017,0.000476,284.036000,568,507.3140
1,0.18722607258,1,2066.930,191.087,191.087,4,6,8.429420,-3.594590,-51358.000000,4.763640,-0.002749,0.000000,90.000000,424,534.2240
1,0.25254293003,7,2066.930,1029.040,191.087,4,4,7.690450,1.972970,-4726.570000,12.364600,0.001206,-0.003369,351.254000,432,549.6110
1,0.22023781213,1,2332.520,1223.560,0.000,4,6,8.769290,-1.864860,22959.500000,6.853220,-0.002259,0.000711,303.690000,381,561.0670
1,0.19148241236,7,3081.190,270.238,0.000,4,6,8.154650,-3.135140,1553.780000,9.736780,-0.001596,-0.009713,29.054600,458,535.3980
1,0.25662171769,7,2161.910,191.087,191.087,4,6,8.006020,0.837838,-377.845000,6.091480,-0.001559,-0.000762,231.340000,478,527.8110
1,0.09756673592,2,2101.960,191.087,191.087,4,1,7.882010,1.891890,1198.410000,6.918170,-0.000133,0.005702,15.945400,528,515.1410
1,0.15068953542,2,5642.740,1281.850,427.284,4,2,8.859600,-3.540540,-396491.000000,4.763640,-0.002749,-0.013333,360.000000,264,568.3850
1,0.17277027957,2,5044.850,2031.290,573.262,4,2,8.702950,0.459459,-3694.450000,1.909150,0.001109,0.000000,270.000000,290,568.3690
1,0.16136153538,2,5077.320,1709.140,604.271,4,2,9.940960,-0.324324,-3143.560000,2.134300,-0.000111,-0.011926,63.434900,259,576.8880
1,0.16814243410,2,3754.270,1891.670,540.477,4,2,9.025890,1.351350,377.533000,3.438910,0.000723,0.015645,326.310000,273,584.0240
1,0.19929847390,2,3203.210,2031.290,787.874,4,2,9.051200,-1.081080,-12015.400000,1.909150,0.000000,0.000000,270.000000,289,586.9380
1,0.18252130281,2,5886.610,1709.140,1223.560,4,2,8.726490,-1.648650,5896.920000,4.262690,-0.001322,0.002981,333.435000,309,544.1200
1,0.17645437308,2,4931.390,1540.600,1337.610,4,3,8.827500,0.081081,3545.400000,6.721370,0.001360,-0.002357,45.000000,362,533.5480
1,0.14273697197,2,8118.400,854.569,0.000,4,3,6.378790,-1.594590,-16538.400000,11.309900,0.001048,0.000000,90.000000,239,551.2630
1,0.11934260094,2,12135.200,270.238,191.087,7,3,10.396900,-6.297300,11741.800000,9.646220,-0.004279,-0.019486,191.310000,270,529.6090
1,0.11607627938,2,13307.700,270.238,191.087,7,1,7.397030,-11.216200,4656.160000,16.051100,-0.006797,-0.008138,100.008000,291,520.6950
1,0.18335267011,3,11872.000,688.975,0.000,7,3,8.202350,-5.054050,-9514.020000,5.128710,-0.001609,0.011953,291.801000,337,502.9480
1,0.15784482977,3,7911.110,3248.490,540.477,7,2,6.547460,3.729730,-5246.190000,11.386200,0.005098,-0.004799,114.444000,583,457.7100
1,0.17290630343,3,8783.790,3821.750,764.350,7,2,10.162100,0.648649,2972.890000,0.954841,-0.000555,-0.066667,180.000000,600,448.1130
